match_id,year,home_team,away_team,home_score,away_score,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop,result
306,1978,Argentina,Peru,6.0,0.0,,,89049453088.3282,12491876742.9708,27132158.0,16516059.0,1
307,1978,Brazil,Italy,2.0,1.0,,,200278646123.581,315784469541.41,115600942.0,56155143.0,1
308,1978,Argentina,Netherlands,3.0,1.0,,,89049453088.3282,156089077205.133,27132158.0,13941700.0,1
309,1982,Italy,Poland,0.0,0.0,,,428257421617.752,,56543548.0,36230481.0,0
310,1982,Peru,Cameroon,0.0,0.0,,,21794535621.216,6611255963.83584,18246503.0,9028678.0,0
311,1982,Italy,Peru,1.0,1.0,,,428257421617.752,21794535621.216,56543548.0,18246503.0,0
312,1982,Poland,Cameroon,0.0,0.0,,,,6611255963.83584,36230481.0,9028678.0,0
313,1982,Poland,Peru,5.0,1.0,,,,21794535621.216,36230481.0,18246503.0,1
314,1982,Italy,Cameroon,1.0,1.0,,,428257421617.752,6611255963.83584,56543548.0,9028678.0,0
315,1982,West Germany,Algeria,1.0,2.0,,,,45207167470.3497,,19872348.0,-1
316,1982,Chile,Austria,0.0,1.0,,,19710229067.2864,70996111962.5716,11850214.0,7574140.0,-1
317,1982,West Germany,Chile,4.0,1.0,,,,19710229067.2864,,11850214.0,1
318,1982,Algeria,Austria,0.0,2.0,,,45207167470.3497,70996111962.5716,19872348.0,7574140.0,-1
319,1982,Algeria,Chile,3.0,2.0,,,45207167470.3497,19710229067.2864,19872348.0,11850214.0,1
320,1982,West Germany,Austria,1.0,0.0,,,,70996111962.5716,,7574140.0,1
321,1982,Argentina,Belgium,0.0,1.0,,,84307486836.724,92095926187.5331,28924262.0,9856303.0,-1
322,1982,Hungary,El Salvador,10.0,1.0,,,24141667188.0517,3399189100.0,10705535.0,4622477.0,1
323,1982,Argentina,Hungary,4.0,1.0,,,84307486836.724,24141667188.0517,28924262.0,10705535.0,1
324,1982,Belgium,El Salvador,1.0,0.0,,,92095926187.5331,3399189100.0,9856303.0,4622477.0,1
325,1982,Belgium,Hungary,1.0,1.0,,,92095926187.5331,24141667188.0517,9856303.0,10705535.0,0
326,1982,Argentina,El Salvador,2.0,0.0,,,84307486836.724,3399189100.0,28924262.0,4622477.0,1
327,1982,England,France,3.0,1.0,,,515048916841.37,578152310609.841,56313641.0,55806789.0,1
328,1982,Czechoslovakia,Kuwait,1.0,1.0,,,,21577153356.4192,,1662480.0,0
329,1982,England,Czechoslovakia,2.0,0.0,,,515048916841.37,,56313641.0,,1
330,1982,France,Kuwait,4.0,1.0,,,578152310609.841,21577153356.4192,55806789.0,1662480.0,1
331,1982,France,Czechoslovakia,1.0,1.0,,,578152310609.841,,55806789.0,,0
332,1982,England,Kuwait,1.0,0.0,,,515048916841.37,21577153356.4192,56313641.0,1662480.0,1
