match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
109,1958,Group Stage,France,Paraguay,7.0,3.0,30.0,25.0,1,498861258000.0,45654000.0,4454883488.0,1816096.0
103,1958,Group Stage,Northern Ireland,Czechoslovakia,1.0,0.0,12.0,6.0,1,655877096000.0,51652000.0,55149928666.6118,9574650.0
111,1958,Group Stage,Yugoslavia,France,3.0,2.0,10.0,30.0,1,54882864000.0,17796000.0,498861258000.0,45654000.0
112,1958,Group Stage,Paraguay,Scotland,3.0,2.0,25.0,12.0,1,4454883488.0,1816096.0,655877096000.0,51652000.0
113,1958,Group Stage,France,Scotland,2.0,1.0,30.0,12.0,1,498861258000.0,45654000.0,655877096000.0,51652000.0
114,1958,Group Stage,Paraguay,Yugoslavia,3.0,3.0,25.0,10.0,0,4454883488.0,1816096.0,54882864000.0,17796000.0
115,1958,Group Stage,Sweden,Mexico,3.0,0.0,24.0,34.0,1,95457556000.0,7409000.0,162674939455.0,36141955.0
116,1958,Group Stage,Hungary,Wales,1.0,1.0,3.0,12.0,0,53036694000.0,9882000.0,655877096000.0,51652000.0
117,1958,Group Stage,Mexico,Wales,1.0,1.0,34.0,12.0,0,162674939455.0,36141955.0,655877096000.0,51652000.0
110,1958,Group Stage,Yugoslavia,Scotland,1.0,1.0,10.0,12.0,0,54882864000.0,17796000.0,655877096000.0,51652000.0
155,1962,Group Stage,Argentina,Bulgaria,1.0,0.0,4.0,12.0,1,192596952367.0,21283783.0,42083992392.0,8012946.0
156,1962,Group Stage,Hungary,England,2.0,1.0,3.0,12.0,1,63547845000.0,10063000.0,753069252000.0,53292000.0
157,1962,Group Stage,England,Argentina,3.0,1.0,12.0,4.0,1,753069252000.0,53292000.0,192596952367.0,21283783.0
158,1962,Group Stage,Hungary,Bulgaria,6.0,1.0,3.0,12.0,1,63547845000.0,10063000.0,42083992392.0,8012946.0
159,1962,Group Stage,Hungary,Argentina,0.0,0.0,3.0,4.0,0,63547845000.0,10063000.0,192596952367.0,21283783.0
160,1962,Group Stage,England,Bulgaria,0.0,0.0,12.0,12.0,0,753069252000.0,53292000.0,42083992392.0,8012946.0
164,1962,Quarterfinals,Yugoslavia,West Germany,1.0,0.0,10.0,12.0,1,74758500000.0,18500000.0,966424867402.0,73739117.0
